province,district,crop,csa,adoption,ind_1,ind_2,ind_3,ind_4,ind_5,ind_6,productivity,adaptation,mitigation,hazard,hazard_1,hazard_2,hazard_3,barrier_1,b1_exp,barrier_2,b2_exp,name,contact,source,Ranking,Order,CSA Category
Punjab,Jhang,Sugarcane,Timely weeding,Adopted > 60 % ,Plant Animal health,Yield Income,,,,,Improve yield and reduce production costs as well as minimize the negative effects of weeds on the quality of the produce,,,,,,,Training & Info,Farmers lack training for the practice,Labour,Labor-intesive,Nam Nguyen,,link,6,6,Timely weeding
Punjab,Jhang,Sugarcane,"IPM (Biocontrols, Phermone traps)",Adopted 30%,Plant Animal health,Yield Income,Pollution,Biodiversity,Landscapes,,"Reduces losses from pests, improves yields [2]
Reduces cost of pesticide purchase [1,2], doses of pesticide chemicals can be largely reduced (up to 41 percent) on IPM-trained farms [4]
Maintains or increases the cost-effectiveness of pest management programs [1]","Builds resilience of plants to pests [1]
Protects beneficial non-target species [1]
Lower impact on surrounding landscape supports greater biodversity [3]","Reduces the potential for air and ground water contamination [1]
Reduces exposure of workers to pesticides [1]",Pest & Disease,,,,Training & Info,Farmers lack information on the benefits,Market,Cannot access equipment,Nam Nguyen,,link,7,7,Integrated Pest Management (IPM)
Punjab,Jhang,Sugarcane,Intercropping (canola) ,Adopted 30%,Soil & Nutrient,Water,Yield Income,Biodiversity,Plant Animal health,Carbon,"Enhanced nutrient use efficiency [1]
Integration of legumes into system can improve nutrient availability [1]","Better water use efficiency [1]
Diversifies income sources [1]
Can reduce risld from pest and disease [1]","Intercropping with legume species can increase Nitrogen Fixation, reducing the need for fertiliser.",Drought,Pest & Disease,,,Training & Info,Farmers lack information on the benefits,,,Nam Nguyen,,link,3,3,Intercropping
Punjab,Jhang,Sugarcane,Soil ripping(without turning the soil upside down),Adopted 30%,Soil & Nutrient,Yield Income,,,,,"Increases crop productivity, enhances water and fertilizer use efficiency, there by reducing production costs.","Potential to stabilise a deepened tilth in all soil types through the conservation of the structure and mass of enhanced root growth, which increases soil organic carbon, total soil nitrogen , as well as preventing waterlogging and improving irrigation efficiency.",,,,,,Training & Info,Farmers lack training for the practice,Economic,Machinery needed,Nam Nguyen,,link,8,8,Soil ripping
Punjab,Jhang,Sugarcane,Composting,Adopted 30%,Soil & Nutrient,Yield Income,Water,Carbon,,,"increased crop production and income.

Application rates can be decreased from tonnes to kilograms per hectare when using incorprating N fertiliser with N-enriched compost, and dependence on chemical fertilizer can be reduced to a certain extent.","Composting enriches soil, helping retain moisture, encourages the production of beneficial bacteria and fungi to produce humus.","waste management solution that can reduces greenhouse gases, methane emissions from landfills (dump) and lowers carbon footprint, reduces the need for chemical fertilizers",High temps,,,,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link,9,9,Composting
Punjab,Jhang,Cattle,Improved breeds,Want to adopt,Crop & Livestock Suitability,Plant Animal health,Yield Income,Carbon,,,"Reduced losses in times of drought or
extreme heat increase productivity.","Livestock breeds selected to be resilient to
extreme conditions","Varieties which produce fewer methane
emissions can be selected",High temps,Pest & Disease,,,Policy & Inst,Institutions lack resources to drive tangible breed improvement and improved utilization,Market,Lack of available improved breeds,Nam Nguyen,,link,1,1,Improved breeds
Punjab,Jhang,Cattle,Control sheds,Want to adopt,Plant Animal health,Yield Income,Crop & Livestock Suitability,Carbon,,,"Faster growth and higher feed conversion ratio due to proper housing. Shortens ready-to-market date, compared to convetional farms
For poultry farming, it is estimated Net revenue was PKR 10.269 per broiler for open shed and PKR 72.502 per broiler for Environmentally Controlled shed. Mortality decreased to 2 to 3 percent in controlled environment farm as compared to 10 percent in conventional farm.","Reduces exposure to adverse climatic conditions, reducing animal’s stresses.
Reduces the incidences of diseases","Allows better manure management, thereby reducing the related GHG emissions.",High temps,Pest & Disease,Heavy rains,,Economic,Higher costs for production,Training & Info,Farmers lack training for the practice,Nam Nguyen,,link,3,3,Controlled Shed
Punjab,Jhang,Cattle,Community based seed quality management (Fodder),Adopted < 30%,Crop & Livestock Suitability,Yield Income,Plant Animal health,,,,"provision of productive and climate-adapted seeds where private companies are not able to deliver, thereby increasing yield","community seed banks can be essential instruments for conserving local varieties, restoring ‘lost’ varieties and sharing knowledge and expertise among farmers. 
They therefore serve as a buffer against environmental and economic losses.","High-performing and adapted seeds can reduce resource requirements, indirectly reducing GHGs",Flooding,Drought,Pest & Disease,,Policy & Inst,"Lack of regulatory and legal framework to promote community-based seed systems, as supposed to formal private-sector seed production",Training & Info,Farmers lack training for the practice,Nam Nguyen,,link,6,6,Community based seed quality management
Punjab,Jhang,Cattle,Early maturing varieties,Want to adopt,Crop & Livestock Suitability,Yield Income,Plant Animal health,Carbon,,,"Promotes high yields per unit area hence
an increase in income and profit due to
reduced production costs","reducing the vulnerability of farmers to extreme events.
reduce harvest and post?harvest loses and increases the food security
Optimizes the use of available soil moisture contributing to avoid crop loss. Increases water use efficiency.","Provides moderate reduction in GHG
emissions per unit of food produced.",Drought,Flooding,Pest & Disease,,Market,Lack of available improved varieties. Seed supply does not meet demand.,,,Nam Nguyen,,link,2,2,Early maturing varieties
Punjab,Jhang,Cattle,Composting (green manuring),Want to adopt,Soil & Nutrient,Yield Income,Water,Carbon,,,"increased crop production and income.

Application rates can be decreased from tonnes to kilograms per hectare when using incorprating N fertiliser with N-enriched compost, and dependence on chemical fertilizer can be reduced to a certain extent.","Composting enriches soil, helping retain moisture, encourages the production of beneficial bacteria and fungi to produce humus.","waste management solution that can reduces greenhouse gases, methane emissions from landfills (dump) and lowers carbon footprint, reduces the need for chemical fertilizers",High temps,,,,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link,4,4,Composting
Punjab,Jhang,Cattle,"Crop diversification (Berseem, Lucern)",Want to adopt,Yield Income,Crop & Livestock Suitability,Soil & Nutrient,Plant Animal health,Biodiversity,,"yield stability in crop production, efficient use of labor and resources, high returns to
labo","spread production and income risk over a wider range of crops, thus reducing livelihood vulnerability to weather or market shocks.
produce agronomic benefits in terms of pest management and soil quality",,Drought,Flooding,Pest & Disease,,Training & Info,Farmers lack training for the practice,Market,Inadequate supply of seeds and plants of improved cultivars,Nam Nguyen,,link,5,5,Crop diversification
Punjab,Jhang,Cattle,Composting (Farm Yard Manure),Want to adopt,Soil & Nutrient,Yield Income,Water,Carbon,,,"increased crop production and income.

Application rates can be decreased from tonnes to kilograms per hectare when using incorprating N fertiliser with N-enriched compost, and dependence on chemical fertilizer can be reduced to a certain extent.","Composting enriches soil, helping retain moisture, encourages the production of beneficial bacteria and fungi to produce humus.","waste management solution that can reduces greenhouse gases, methane emissions from landfills (dump) and lowers carbon footprint, reduces the need for chemical fertilizers",High temps,,,,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link,7,7,Composting
KP,Chitral,Wheat,Community based seed quality management,Adopted 30%,Crop & Livestock Suitability,Yield Income,Plant Animal health,,,,"provision of productive and climate-adapted seeds where private companies are not able to deliver, thereby increasing yield","community seed banks can be essential instruments for conserving local varieties, restoring ‘lost’ varieties and sharing knowledge and expertise among farmers. 
They therefore serve as a buffer against environmental and economic losses.","High-performing and adapted seeds can reduce resource requirements, indirectly reducing GHGs",Flooding,Drought,Pest & Disease,,Policy & Inst,"Lack of regulatory and legal framework to promote community-based seed systems, as supposed to formal private-sector seed production",Training & Info,Farmers lack training for the practice,Nam Nguyen,,link,1,1,Community based seed quality management
KP,Chitral,Wheat,Intergrated Soil Fertility Management (ISFM),Adopted ,Soil & Nutrient,Yield Income,Carbon,,,,"Increases in yield. Reduces cost of production and hence increases profit from agriculture.
The integrated application of soil-water conservantion and imporved fertiliser application has been found to increase crop yields in the rainfed areas of Punjab","Improves soil health by increasing organic
matter content and biological activities.
ISFM can play a major role in improving farm output from degraded lands","Reduces requirements of synthetic
fertilizers use, thereby related GHG
emissions during its production and use.
Conserves Soil Organic Matter (SOM).",salinization,Heavy rains,Drought,,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link,2,2,Intergrated Soil Fertility Management (ISFM)
KP,Chitral,Wheat,Laser land levelling,Adopted 30%,Water,Carbon,Yield Income,Soil & Nutrient,Plant Animal health,,"Improve yields by 12-20% [3, 5]
Increases yields and germination rates [2]
","30-50% reduction in the use of irrigation water [4, 5]
Reducing water requirement in drought prone areas 
Reduces water logging and salinity by upto 42% [4]
","Reduce energy use by 31% [3]
Improved fertiliser use efficiency 15-35% [4]
",Drought,salinization,,,Economic,Higher costs for production,Market,Not enough service providers,Nam Nguyen,,link,6,6,Laser land levelling
KP,Chitral,Wheat,Composting (Farm Yard Manure),Want to adopt,Soil & Nutrient,Yield Income,Water,Carbon,,,"increased crop production and income.

Application rates can be decreased from tonnes to kilograms per hectare when using incorprating N fertiliser with N-enriched compost, and dependence on chemical fertilizer can be reduced to a certain extent.","Composting enriches soil, helping retain moisture, encourages the production of beneficial bacteria and fungi to produce humus.","waste management solution that can reduces greenhouse gases, methane emissions from landfills (dump) and lowers carbon footprint, reduces the need for chemical fertilizers",High temps,,,,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link,5,5,Composting
KP,Chitral,Wheat,"Crop Rotation (Potato, peas)",Adopted 30%,Soil & Nutrient,Biodiversity,Plant Animal health,Yield Income,Carbon,Water,Crop rotation increases total production and productivity per unit area of land. Harvests of multiple crops from this system increase farmer’s income and food security.,This practice reduces the risk of total crop failure due to diversification of crops under climatic shocks. Improves soil fertility. Rotating crops maintains soil fertility and minimizes the incidence of pests and diseases.,"The practice of crop rotation helps to protect soil structure, increases soil organic matter and organic carbon reserves. Leguminous species integration reduces the need of synthetic fertilizers. When combined with nitrogen fixation species (leguminous) reduces the use of nitrogen-based synthetic fertilizers.",Pest & Disease,Drought,High temps,Flooding,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link,3,3,Crop Rotation
KP,Chitral,Wheat,Seasonal-adapted planting times (e.g. use of cropping calendars),Adopted 30-60%,Plant Animal health,Yield Income,Carbon,,,,"Increases land and crop productivity per
unit of water.",Adjusting the cropping calendar by planting with the onset of rains reduces losses due to changing weather patterns.,"Provides moderate reduction in GHG
emissions per unit of food produced.",High temps,Heavy rains,,,Environmental,Varying and uncertain climate conditions,Training & Info,Farmers lack training for the practice,Nam Nguyen,,link,5,5,Season-adapted planting times (e.g. use of cropping calendars)
KP,Chitral,Wheat,Ridge sowing / Raised bed planting,Adopted 30%,Water,Yield Income,Plant Animal health,Soil & Nutrient,,,"Increased crop productivity by 20-30% [3]
Increased net profits of 22% compared to conventional production [4]
Decreases cost of digging tubewells by 40% [2, 3]
20-25% less seed required [3]","Water saving up to 30-50% [1,2]
Reduced water stress
Reduced crop lodging 
Better drainige during heavy rains","Higher nutrient use efficiency, reducing fertilizer requirement",Drought,Heavy rains,Pest & Disease,,Training & Info,Farmers lack information on the benefits,Labour,Labour intensive,Nam Nguyen,,link,7,7,Ridge sowing/ Raised bed planting
KP,Chitral,Wheat,Zero-till (Drill),Want to adopt,Yield Income,Water,Soil & Nutrient,Carbon,,,"Yield gains, cost savings on labour and machinery up to 34% [1]
More than 30.00% saving of irrigation and saving of complete land preparation costs have been reported also, the sowing of wheat after rice under Zero-Tillage, when compared to conventional method, gave 20.20% more grain yield with a reduced cost of land preparation and a net benefit of 77.00% [2]",Reduced water usage [1] crop residues are left on the soil surface which adds to soil organic matter content [2] and avoids late planting and mitigates the effects of poor land preparation,Reduce GHG due to no crop residue burning [1],Drought,,,,Environmental,Saline and poorly drained with hard pan soils are not suitable for zero-till,,,Nam Nguyen,,link,8,8,Zero-till (Drill)
KP,Chitral,Potato,Community based seed quality management,Adopted 30%,Crop & Livestock Suitability,Yield Income,Plant Animal health,,,,"provision of productive and climate-adapted seeds where private companies are not able to deliver, thereby increasing yield","community seed banks can be essential instruments for conserving local varieties, restoring ‘lost’ varieties and sharing knowledge and expertise among farmers. 
They therefore serve as a buffer against environmental and economic losses.","High-performing and adapted seeds can reduce resource requirements, indirectly reducing GHGs",Flooding,Drought,Pest & Disease,,Policy & Inst,"Lack of regulatory and legal framework to promote community-based seed systems, as supposed to formal private-sector seed production",Training & Info,Farmers lack training for the practice,Nam Nguyen,,link,1,1,Community based seed quality management
KP,Chitral,Potato,Ridge sowing / Raised bed planting,Adopted 30%,Water,Yield Income,Plant Animal health,Soil & Nutrient,,,"Increased crop productivity by 20-30% [3]
Increased net profits of 22% compared to conventional production [4]
Decreases cost of digging tubewells by 40% [2, 3]
20-25% less seed required [3]","Water saving up to 30-50% [1,2]
Reduced water stress
Reduced crop lodging 
Better drainige during heavy rains","Higher nutrient use efficiency, reducing fertilizer requirement",Drought,Heavy rains,Pest & Disease,,Training & Info,Farmers lack information on the benefits,Labour,Labour intensive,Nam Nguyen,,link,4,4,Ridge sowing/ Raised bed planting
KP,Chitral,Potato,Organic farming,Want to adopt,Yield Income,Water,Biodiversity,Plant Animal health,Soil & Nutrient,Carbon,"Decreased input costs. Higher farm incomes are thus
possible due to lower input costs and higher sale prices.The average per month income associated with
organic farmers is signifiCannotly higher than conventional
households (PKR 34,033 and 30,170 respectively). 
","enhance soil fertility, soils are improved by
developing drainage system as well as the use of organic material","minimizing the pollution and wastage of resources, such as fertiliser",Pest & Disease,Drought,,,Policy & Inst,Limited institutional support and subsidies for organic agriculture,Market,Markets not well developed for organic produce,Nam Nguyen,,link,3,3,Organic farming
KP,Chitral,Potato,Composting,Want to adopt,Soil & Nutrient,Yield Income,Water,Carbon,,,"increased crop production and income.

Application rates can be decreased from tonnes to kilograms per hectare when using incorprating N fertiliser with N-enriched compost, and dependence on chemical fertilizer can be reduced to a certain extent.","Composting enriches soil, helping retain moisture, encourages the production of beneficial bacteria and fungi to produce humus.","waste management solution that can reduces greenhouse gases, methane emissions from landfills (dump) and lowers carbon footprint, reduces the need for chemical fertilizers",High temps,,,,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link,7,7,Composting
KP,Chitral,Potato,Intergrated Soil Fertility Management (ISFM),Want to adopt ,Soil & Nutrient,Yield Income,Carbon,,,,"Increases in yield. Reduces cost of production and hence increases profit from agriculture.
The integrated application of soil-water conservantion and imporved fertiliser application has been found to increase crop yields in the rainfed areas of Punjab","Improves soil health by increasing organic
matter content and biological activities.
ISFM can play a major role in improving farm output from degraded lands","Reduces requirements of synthetic
fertilizers use, thereby related GHG
emissions during its production and use.
Conserves Soil Organic Matter (SOM).",salinization,Heavy rains,Drought,,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link,2,2,Intergrated Soil Fertility Management (ISFM)
KP,Chitral,Potato,Seasonal-adapted planting times (e.g. use of cropping calendars),Adopted < 30 %,Plant Animal health,Yield Income,Carbon,,,,"Increases land and crop productivity per
unit of water.",Adjusting the cropping calendar by planting with the onset of rains reduces losses due to changing weather patterns.,"Provides moderate reduction in GHG
emissions per unit of food produced.",High temps,Heavy rains,,,Environmental,Varying and uncertain climate conditions,Training & Info,Farmers lack training for the practice,Nam Nguyen,,link,5,5,Season-adapted planting times (e.g. use of cropping calendars)
KP,Chitral,Apricot,"Improved varieties (quality fruit regarding size, shape and taste)",Adopted < 30 %,Crop & Livestock Suitability,Plant Animal health,Yield Income,Water,Carbon,,"High yielding, resilient varieties reduce
losses and increase productivity.","Improved varieties reduce losses under
adverse climatic conditions along with pest
and disease outbreaks.","Reduced requirement for pesticide and
fungicide use reduces emissions and
associated environmental degradation.",Drought,Flooding,Pest & Disease,,Market,Lack of available improved varieties. Seed supply does not meet demand.,,,Nam Nguyen,,link,1,1,Improved varieties
KP,Chitral,Apricot,Intergrated Soil Fertility Management (ISFM),Want to adopt,Soil & Nutrient,Yield Income,Carbon,,,,"Increases in yield. Reduces cost of production and hence increases profit from agriculture.
The integrated application of soil-water conservantion and imporved fertiliser application has been found to increase crop yields in the rainfed areas of Punjab","Improves soil health by increasing organic
matter content and biological activities.
ISFM can play a major role in improving farm output from degraded lands","Reduces requirements of synthetic
fertilizers use, thereby related GHG
emissions during its production and use.
Conserves Soil Organic Matter (SOM).",salinization,Heavy rains,Drought,,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link,2,2,Intergrated Soil Fertility Management (ISFM)
KP,Chitral,Apricot,Composting,Adopted > 60 % ,Soil & Nutrient,Yield Income,Water,Carbon,,,"increased crop production and income.

Application rates can be decreased from tonnes to kilograms per hectare when using incorprating N fertiliser with N-enriched compost, and dependence on chemical fertilizer can be reduced to a certain extent.","Composting enriches soil, helping retain moisture, encourages the production of beneficial bacteria and fungi to produce humus.","waste management solution that can reduces greenhouse gases, methane emissions from landfills (dump) and lowers carbon footprint, reduces the need for chemical fertilizers",High temps,,,,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link,5,5,Composting
KP,Chitral,Apricot,Harvesting at optimal time,Want to adopt,Yield Income,Plant Animal health,,,,,Yield preservation,Reduce post-harvest losses,,Drought,Flooding,,,,,,,Nam Nguyen,,link,4,4,Harvesting at optimal time
KP,Chitral,Apricot,"Irrigation practices (Drip, Sprinkler, Regulated deficit)",Adopted 50%,Water,Carbon,Plant Animal health,Yield Income,,,"Plants receive exact water requirement,
improving productivity and quality. 
Improves or maintains yield per unit of
water","Improved water use efficiency, reducing
requirement in times of drought.
In combination with standardized irrigation
designs/schemes leads to water use
efficiency reducing the water demand in
drought prone areas. Minimizes erosion.","Reduced pumping costs due to precision
application
Reduces energy requirements for irrigation
hence associated GHG emissions per unit
of produce.",Drought,Pest & Disease,,,Economic,Higher costs for production,,,Nam Nguyen,,link,6,6,"Irrigation practices (Drip, Sprinkler, Regulated deficit)"
KP,Chitral,Apricot,"IPM (Biocontrols, Phermone traps)",Adopted 30%-60%,Plant Animal health,Yield Income,Pollution,Biodiversity,Landscapes,,"Reduces losses from pests, improves yields [2]
Reduces cost of pesticide purchase [1,2], doses of pesticide chemicals can be largely reduced (up to 41 percent) on IPM-trained farms [4]
Maintains or increases the cost-effectiveness of pest management programs [1]","Builds resilience of plants to pests [1]
Protects beneficial non-target species [1]
Lower impact on surrounding landscape supports greater biodversity [3]","Reduces the potential for air and ground water contamination [1]
Reduces exposure of workers to pesticides [1]",Pest & Disease,,,,Training & Info,Farmers lack information on the benefits,Market,Cannot access equipment,Nam Nguyen,,link,3,3,Integrated Pest Management (IPM)
Sindh,Tharparkar,Beans,Community based seed quality management ((cluster bean with cucurbits and Moth (kidney bean),Adopted 60%,Crop & Livestock Suitability,Yield Income,Plant Animal health,,,,"provision of productive and climate-adapted seeds where private companies are not able to deliver, thereby increasing yield","community seed banks can be essential instruments for conserving local varieties, restoring ‘lost’ varieties and sharing knowledge and expertise among farmers. 
They therefore serve as a buffer against environmental and economic losses.","High-performing and adapted seeds can reduce resource requirements, indirectly reducing GHGs",Flooding,Drought,Pest & Disease,,Policy & Inst,"Lack of regulatory and legal framework to promote community-based seed systems, as supposed to formal private-sector seed production",Training & Info,Farmers lack training for the practice,Nam Nguyen,,link,3,1,Community based seed quality management
Sindh,Tharparkar,Beans,Crop diversification (cluster bean with cucurbits and Moth (kidney bean),Want to adopt ,Yield Income,Crop & Livestock Suitability,Soil & Nutrient,Plant Animal health,Biodiversity,,"yield stability in crop production, efficient use of labor and resources, high returns to
labo","spread production and income risk over a wider range of crops, thus reducing livelihood vulnerability to weather or market shocks.
produce agronomic benefits in terms of pest management and soil quality",,Drought,Flooding,Pest & Disease,,Training & Info,Farmers lack training for the practice,Market,Inadequate supply of seeds and plants of improved cultivars,Nam Nguyen,,link,4,2,Crop diversification
Sindh,Tharparkar,Beans,Early maturing varieties,Want to adopt,Crop & Livestock Suitability,Yield Income,Plant Animal health,Carbon,,,"Promotes high yields per unit area hence
an increase in income and profit due to
reduced production costs","reducing the vulnerability of farmers to extreme events.
reduce harvest and post?harvest loses and increases the food security
Optimizes the use of available soil moisture contributing to avoid crop loss. Increases water use efficiency.","Provides moderate reduction in GHG
emissions per unit of food produced.",Drought,Flooding,Pest & Disease,,Market,Lack of available improved varieties. Seed supply does not meet demand.,,,Nam Nguyen,,link,5,3,Early maturing varieties
Sindh,Tharparkar,Beans,"Improved varieties (heat, drought, flood, salinity, pest & disease) ",Adopted > 60 %,Crop & Livestock Suitability,Plant Animal health,Yield Income,Water,Carbon,,"High yielding, resilient varieties reduce
losses and increase productivity.","Improved varieties reduce losses under
adverse climatic conditions along with pest
and disease outbreaks.","Reduced requirement for pesticide and
fungicide use reduces emissions and
associated environmental degradation.",Drought,Flooding,Pest & Disease,,Market,Lack of available improved varieties. Seed supply does not meet demand.,,,Nam Nguyen,,link,5,4,Improved varieties
Sindh,Tharparkar,Millet,Community based seed quality management (local seed collection/drought resistant seed),Want to adopt,Crop & Livestock Suitability,Yield Income,Plant Animal health,,,,"provision of productive and climate-adapted seeds where private companies are not able to deliver, thereby increasing yield","community seed banks can be essential instruments for conserving local varieties, restoring ‘lost’ varieties and sharing knowledge and expertise among farmers. 
They therefore serve as a buffer against environmental and economic losses.","High-performing and adapted seeds can reduce resource requirements, indirectly reducing GHGs",Flooding,Drought,Pest & Disease,,Policy & Inst,"Lack of regulatory and legal framework to promote community-based seed systems, as supposed to formal private-sector seed production",Training & Info,Farmers lack training for the practice,Nam Nguyen,,link,2,2,Community based seed quality management
Sindh,Tharparkar,Millet,Composting,Want to adopt,Soil & Nutrient,Yield Income,Water,Carbon,,,"increased crop production and income.

Application rates can be decreased from tonnes to kilograms per hectare when using incorprating N fertiliser with N-enriched compost, and dependence on chemical fertilizer can be reduced to a certain extent.","Composting enriches soil, helping retain moisture, encourages the production of beneficial bacteria and fungi to produce humus.","waste management solution that can reduces greenhouse gases, methane emissions from landfills (dump) and lowers carbon footprint, reduces the need for chemical fertilizers",High temps,,,,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link,4,4,Composting
Sindh,Tharparkar,Millet,Multi cropping,Want to adopt,Water,Yield Income,Plant Animal health,Soil & Nutrient,,,"Increased crop productivity by 20-30% [3]
Increased net profits of 22% compared to conventional production [4]
Decreases cost of digging tubewells by 40% [2, 3]
20-25% less seed required [3]","Water saving up to 30-50% [1,2]
Reduced water stress
Reduced crop lodging 
Better drainige during heavy rains","Higher nutrient use efficiency, reducing fertilizer requirement",Drought,Heavy rains,Pest & Disease,,Training & Info,Farmers lack information on the benefits,Labour,Labour intensive,Nam Nguyen,,link,1,1,Ridge sowing/ Raised bed planting
Sindh,Tharparkar,Millet,Crop Rotation,Adopted 35%,Soil & Nutrient,Biodiversity,Plant Animal health,Yield Income,Carbon,Water,Crop rotation increases total production and productivity per unit area of land. Harvests of multiple crops from this system increase farmer’s income and food security.,This practice reduces the risk of total crop failure due to diversification of crops under climatic shocks. Improves soil fertility. Rotating crops maintains soil fertility and minimizes the incidence of pests and diseases.,"The practice of crop rotation helps to protect soil structure, increases soil organic matter and organic carbon reserves. Leguminous species integration reduces the need of synthetic fertilizers. When combined with nitrogen fixation species (leguminous) reduces the use of nitrogen-based synthetic fertilizers.",Pest & Disease,Drought,High temps,Flooding,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link,3,3,Crop Rotation
Sindh,Tharparkar,Millet,Agro-foresty,Adopted 40%,Water,Soil & Nutrient,Carbon,Landscapes,Biodiversity,Yield Income,Agroforestry increases productivity and farmers’ incomes from a diversified production system with food security benefits.,"Promotes soil and water conservation. [2]
Reduces erosion, land degradation and vulnerability to climate shocks, increased soil stabilization and water infiltration rates.[3]
",Increased above- and below-ground biomass from agroforestry increases carbon stocks in the soil and reduce soil C losses from erosion. [3],Drought,High temps,Flooding,,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link,5.5,6,Agroforestry systems (establishment of wind barriers)
Sindh,Tharparkar,Cattle,Controlled sheds,Adopted 35%,Plant Animal health,Yield Income,Crop & Livestock Suitability,Carbon,,,"Faster growth and higher feed conversion ratio due to proper housing. Shortens ready-to-market date, compared to convetional farms
For poultry farming, it is estimated Net revenue was PKR 10.269 per broiler for open shed and PKR 72.502 per broiler for Environmentally Controlled shed. Mortality decreased to 2 to 3 percent in controlled environment farm as compared to 10 percent in conventional farm.","Reduces exposure to adverse climatic conditions, reducing animal’s stresses.
Reduces the incidences of diseases","Allows better manure management, thereby reducing the related GHG emissions.",High temps,Pest & Disease,Heavy rains,,Economic,Higher costs for production,Training & Info,Farmers lack training for the practice,Nam Nguyen,,link,1,1,Controlled shed
Sindh,Tharparkar,Cattle,Community based seed quality management (Fodder),Want to adopt,Crop & Livestock Suitability,Yield Income,Plant Animal health,,,,"provision of productive and climate-adapted seeds where private companies are not able to deliver, thereby increasing yield","community seed banks can be essential instruments for conserving local varieties, restoring ‘lost’ varieties and sharing knowledge and expertise among farmers. 
They therefore serve as a buffer against environmental and economic losses.","High-performing and adapted seeds can reduce resource requirements, indirectly reducing GHGs",Flooding,Drought,Pest & Disease,,Policy & Inst,"Lack of regulatory and legal framework to promote community-based seed systems, as supposed to formal private-sector seed production",Training & Info,Farmers lack training for the practice,Nam Nguyen,,link,4,4,Community based seed quality management
Sindh,Tharparkar,Cattle,Improved varieties (drought),Adopted 10%,Crop & Livestock Suitability,Plant Animal health,Yield Income,Water,Carbon,,"High yielding, resilient varieties reduce
losses and increase productivity.","Improved varieties reduce losses under
adverse climatic conditions along with pest
and disease outbreaks.","Reduced requirement for pesticide and
fungicide use reduces emissions and
associated environmental degradation.",Drought,Flooding,Pest & Disease,,Market,Lack of available improved varieties. Seed supply does not meet demand.,,,Nam Nguyen,,link,5.5,5,Improved varieties
Sindh,Tharparkar,Cattle,Crop diversification (Fodder/cluster bean),Want to adopt,Yield Income,Crop & Livestock Suitability,Soil & Nutrient,Plant Animal health,Biodiversity,,"yield stability in crop production, efficient use of labor and resources, high returns to
labo","spread production and income risk over a wider range of crops, thus reducing livelihood vulnerability to weather or market shocks.
produce agronomic benefits in terms of pest management and soil quality",,Drought,Flooding,Pest & Disease,,Training & Info,Farmers lack training for the practice,Market,Inadequate supply of seeds and plants of improved cultivars,Nam Nguyen,,link,7,7,Crop diversification
Sindh,Tharparkar,Cattle,Improved breeds,Adopted 15 %,Crop & Livestock Suitability,Plant Animal health,Yield Income,Carbon,,,"Reduced losses in times of drought or
extreme heat increase productivity.","Livestock breeds selected to be resilient to
extreme conditions","Varieties which produce fewer methane
emissions can be selected",High temps,Pest & Disease,,,Policy & Inst,Institutions lack resources to drive tangible breed improvement and improved utilization,Market,Lack of available improved breeds,Nam Nguyen,,link,3,3,Improved breeds
Sindh,Tharparkar,Cattle,Composting,Adopted 40%,Soil & Nutrient,Yield Income,Water,Carbon,,,"increased crop production and income.

Application rates can be decreased from tonnes to kilograms per hectare when using incorprating N fertiliser with N-enriched compost, and dependence on chemical fertilizer can be reduced to a certain extent.","Composting enriches soil, helping retain moisture, encourages the production of beneficial bacteria and fungi to produce humus.","waste management solution that can reduces greenhouse gases, methane emissions from landfills (dump) and lowers carbon footprint, reduces the need for chemical fertilizers",High temps,,,,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link,8,8,Composting
Sindh,Tharparkar,Cattle,Composting (Farm Yard Manure),Adopted 40%,Soil & Nutrient,Yield Income,Water,Carbon,,,"increased crop production and income.

Application rates can be decreased from tonnes to kilograms per hectare when using incorprating N fertiliser with N-enriched compost, and dependence on chemical fertilizer can be reduced to a certain extent.","Composting enriches soil, helping retain moisture, encourages the production of beneficial bacteria and fungi to produce humus.","waste management solution that can reduces greenhouse gases, methane emissions from landfills (dump) and lowers carbon footprint, reduces the need for chemical fertilizers",High temps,,,,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link,9,9,Composting
